"module name","licenses","repository","licenseUrl","parents"
"neighbourhood-calculator-js-excel-addin@0.0.0","UNKNOWN","","","UNDEFINED"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path","https://github.com/jonschlinkert/normalize-path/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"nth-check@2.1.1","BSD-2-Clause","https://github.com/fb55/nth-check","https://github.com/fb55/nth-check/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"once@1.4.0","ISC","https://github.com/isaacs/once","https://github.com/isaacs/once/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"optionator@0.9.1","MIT","https://github.com/gkz/optionator","https://github.com/gkz/optionator/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"p-limit@2.3.0","MIT","https://github.com/sindresorhus/p-limit","https://github.com/sindresorhus/p-limit/raw/master/license","pkg-dir:neighbourhood-calculator-js-excel-addin"
"p-limit@3.1.0","MIT","https://github.com/sindresorhus/p-limit","https://github.com/sindresorhus/p-limit/raw/master/license","neighbourhood-calculator-js-excel-addin"
"p-locate@4.1.0","MIT","https://github.com/sindresorhus/p-locate","https://github.com/sindresorhus/p-locate/raw/master/license","pkg-dir:neighbourhood-calculator-js-excel-addin"
"p-locate@5.0.0","MIT","https://github.com/sindresorhus/p-locate","https://github.com/sindresorhus/p-locate/raw/master/license","neighbourhood-calculator-js-excel-addin"
"p-try@2.2.0","MIT","https://github.com/sindresorhus/p-try","https://github.com/sindresorhus/p-try/raw/master/license","neighbourhood-calculator-js-excel-addin"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module","https://github.com/sindresorhus/parent-module/raw/master/license","neighbourhood-calculator-js-excel-addin"
"path-exists@4.0.0","MIT","https://github.com/sindresorhus/path-exists","https://github.com/sindresorhus/path-exists/raw/master/license","neighbourhood-calculator-js-excel-addin"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute","https://github.com/sindresorhus/path-is-absolute/raw/master/license","neighbourhood-calculator-js-excel-addin"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key","https://github.com/sindresorhus/path-key/raw/master/license","neighbourhood-calculator-js-excel-addin"
"picocolors@1.0.0","ISC","https://github.com/alexeyraspopov/picocolors","https://github.com/alexeyraspopov/picocolors/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch","https://github.com/micromatch/picomatch/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"pinia@2.0.35","MIT","https://github.com/vuejs/pinia","https://github.com/vuejs/pinia/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"pkg-dir@4.2.0","MIT","https://github.com/sindresorhus/pkg-dir","https://github.com/sindresorhus/pkg-dir/raw/master/license","neighbourhood-calculator-js-excel-addin"
"postcss-selector-parser@6.0.11","MIT","https://github.com/postcss/postcss-selector-parser","https://github.com/postcss/postcss-selector-parser/raw/master/LICENSE-MIT","neighbourhood-calculator-js-excel-addin"
"postcss@8.4.23","MIT","https://github.com/postcss/postcss","https://github.com/postcss/postcss/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"prelude-ls@1.2.1","MIT","https://github.com/gkz/prelude-ls","https://github.com/gkz/prelude-ls/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env","https://github.com/Rob--W/proxy-from-env/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"punycode@2.3.0","MIT","https://github.com/mathiasbynens/punycode.js","https://github.com/mathiasbynens/punycode.js/raw/master/LICENSE-MIT.txt","neighbourhood-calculator-js-excel-addin"
"queue-microtask@1.2.3","MIT","https://github.com/feross/queue-microtask","https://github.com/feross/queue-microtask/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp","https://github.com/paulmillr/readdirp/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from","https://github.com/sindresorhus/resolve-from/raw/master/license","neighbourhood-calculator-js-excel-addin"
"reusify@1.0.4","MIT","https://github.com/mcollina/reusify","https://github.com/mcollina/reusify/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
